Date,Sales,Month,Day,DayOfWeek,WeekOfYear,IsWeekend,Sales_Lag_1,Sales_Lag_7,Sales_Lag_14,Sales_Lag_30,Rolling_Mean_7,Rolling_Mean_30
2014-02-18,37.784,2,18,1,8,0,54.208,2126.37,1458.558,378.594,651.3588571428571,589.2566
2014-02-19,0.0,2,19,2,8,0,37.784,1771.808,506.12,2673.87,352.98942857142856,577.8962666666667
2014-02-20,95.59,2,20,3,8,0,0.0,0.0,738.598,25.248,99.874,488.76726666666667
2014-02-21,8.85,2,21,4,8,0,95.59,576.726,79.56,0.0,113.52971428571428,491.112
2014-02-22,19.44,2,22,5,8,1,8.85,21.36,886.28,46.019999999999996,32.40457142857143,491.40700000000004
2014-02-23,11.364,2,23,6,8,1,19.44,9.04,3254.15,0.0,32.13028571428571,490.521
2014-02-24,55.672,2,24,0,9,0,11.364,54.208,598.144,0.0,32.46228571428571,490.8998
2014-02-25,0.0,2,25,1,9,0,55.672,37.784,2126.37,1097.25,32.67142857142857,492.75553333333335
2014-02-26,0.0,2,26,2,9,0,0.0,0.0,1771.808,426.67,27.273714285714284,456.18053333333336
2014-02-27,19.456,2,27,3,9,0,0.0,95.59,0.0,3.928,27.273714285714284,441.95820000000003
2014-02-28,0.0,2,28,4,9,0,19.456,8.85,576.726,0.0,16.39742857142857,442.47580000000005
2014-03-01,16.448,3,1,5,9,1,0.0,19.44,21.36,240.5,15.133142857142857,442.47580000000005
2014-03-02,97.11200000000001,3,2,6,9,1,16.448,11.364,9.04,290.666,14.705714285714283,435.0074
2014-03-03,1345.8919999999998,3,3,0,10,0,97.11200000000001,55.672,54.208,0.0,26.95542857142857,428.55559999999997
2014-03-04,233.45,3,4,1,10,0,1345.8919999999998,0.0,37.784,211.64600000000002,211.2725714285714,473.41866666666664
2014-03-05,72.632,3,5,2,10,0,233.45,0.0,0.0,202.384,244.62257142857143,474.14546666666666
2014-03-06,741.336,3,6,3,10,0,72.632,19.456,95.59,1458.558,254.9985714285714,469.8204
2014-03-07,0.0,3,7,4,10,0,741.336,0.0,8.85,506.12,358.1242857142857,445.91299999999995
2014-03-08,477.994,3,8,5,10,1,0.0,16.448,19.44,738.598,358.1242857142857,429.0423333333334
2014-03-09,22.08,3,9,6,10,1,477.994,97.11200000000001,11.364,79.56,424.05942857142855,420.35553333333337
2014-03-10,862.683,3,10,0,11,0,22.08,1345.8919999999998,55.672,886.28,413.3405714285714,418.4395333333333
2014-03-11,2784.163,3,11,1,11,0,862.683,233.45,0.0,3254.15,344.3107142857143,417.65296666666666
2014-03-12,505.88,3,12,2,11,0,2784.163,72.632,0.0,598.144,708.6982857142858,401.9867333333333
2014-03-13,0.0,3,13,3,11,0,505.88,741.336,19.456,2126.37,770.5908571428571,398.9112666666667
2014-03-14,2108.55,3,14,4,11,0,0.0,0.0,0.0,1771.808,664.6857142857143,328.03226666666666
2014-03-15,370.78200000000004,3,15,5,11,1,2108.55,477.994,16.448,0.0,965.907142857143,339.25699999999995
2014-03-16,471.92,3,16,6,11,1,370.78200000000004,22.08,97.11200000000001,576.726,950.5911428571428,351.6164
2014-03-17,3960.358,3,17,0,12,0,471.92,862.683,1345.8919999999998,21.36,1014.854,348.12286666666665
2014-03-18,28106.716,3,18,1,12,0,3960.358,2784.163,233.45,9.04,1457.3790000000001,479.42280000000005
2014-03-19,590.762,3,19,2,12,0,28106.716,505.88,72.632,54.208,5074.886571428571,1416.012
2014-03-20,0.0,3,20,3,12,0,590.762,0.0,741.336,37.784,5087.012571428572,1433.8971333333334
2014-03-21,4109.816,3,21,4,12,0,0.0,2108.55,0.0,0.0,5087.012571428572,1432.6376666666667
2014-03-22,464.09299999999996,3,22,5,12,1,4109.816,370.78200000000004,477.994,95.59,5372.907714285714,1569.6315333333334
2014-03-23,945.0639999999999,3,23,6,12,1,464.09299999999996,471.92,22.08,8.85,5386.237857142857,1581.9149666666667
2014-03-24,65.38,3,24,0,13,0,945.0639999999999,3960.358,862.683,19.44,5453.829857142858,1613.1221
2014-03-25,459.146,3,25,1,13,0,65.38,28106.716,2784.163,11.364,4897.404428571428,1614.6534333333332
2014-03-26,145.13,3,26,2,13,0,459.146,590.762,505.88,55.672,947.7515714285709,1629.5795
2014-03-27,0.0,3,27,3,13,0,145.13,0.0,0.0,0.0,884.0898571428567,1632.561433333333
2014-03-28,1823.8039999999999,3,28,4,13,0,0.0,4109.816,2108.55,0.0,884.0898571428567,1632.561433333333
2014-03-29,890.841,3,29,5,13,1,1823.8039999999999,464.09299999999996,370.78200000000004,19.456,557.5167142857138,1693.3548999999998
2014-03-30,1170.3220000000001,3,30,6,13,1,890.841,945.0639999999999,471.92,0.0,618.4807142857137,1722.4010666666666
2014-03-31,1959.552,3,31,0,14,0,1170.3220000000001,65.38,3960.358,16.448,650.660428571428,1761.4118
2014-04-01,288.06,4,1,1,14,0,1959.552,459.146,28106.716,97.11200000000001,921.256428571428,1826.1819333333333
2014-04-02,134.38400000000001,4,2,2,14,0,288.06,145.13,590.762,1345.8919999999998,896.8155714285709,1832.5468666666668
2014-04-03,370.452,4,3,3,14,0,134.38400000000001,0.0,0.0,233.45,895.280428571428,1792.1632666666667
2014-04-04,475.844,4,4,4,14,0,370.452,1823.8039999999999,4109.816,72.632,948.2021428571423,1796.73
2014-04-05,187.43200000000002,4,5,5,14,1,475.844,890.841,464.09299999999996,741.336,755.636428571428,1810.1704
2014-04-06,456.272,4,6,6,14,1,187.43200000000002,1170.3220000000001,945.0639999999999,0.0,655.149428571428,1791.7069333333336
2014-04-07,247.40800000000002,4,7,0,15,0,456.272,1959.552,65.38,477.994,553.1422857142852,1806.9160000000002
2014-04-08,2743.154,4,8,1,15,0,247.40800000000002,288.06,459.146,22.08,308.55028571428517,1799.2298
2014-04-09,0.0,4,9,2,15,0,2743.154,134.38400000000001,145.13,862.683,659.2779999999995,1889.9322666666667
2014-04-10,728.7479999999999,4,10,3,15,0,0.0,370.452,0.0,2784.163,640.0802857142852,1861.1761666666666
2014-04-11,6693.7480000000005,4,11,4,15,0,728.7479999999999,475.844,1823.8039999999999,505.88,691.265428571428,1792.6623333333332
2014-04-12,129.98,4,12,5,15,1,6693.7480000000005,187.43200000000002,890.841,0.0,1579.5374285714279,1998.9245999999998
2014-04-13,638.576,4,13,6,15,1,129.98,456.272,1170.3220000000001,2108.55,1571.3299999999995,2003.2572666666667
2014-04-14,0.0,4,14,0,16,0,638.576,247.40800000000002,1959.552,370.78200000000004,1597.373428571428,1954.2581333333333
2014-04-15,294.71999999999997,4,15,1,16,0,0.0,2743.154,288.06,471.92,1562.029428571428,1941.8987333333332
2014-04-16,39.072,4,16,2,16,0,294.71999999999997,0.0,134.38400000000001,3960.358,1212.2531428571424,1935.9920666666667
2014-04-17,0.0,4,17,3,16,0,39.072,728.7479999999999,370.452,28106.716,1217.8348571428567,1805.2825333333335
2014-04-18,1020.532,4,18,4,16,0,0.0,6693.7480000000005,475.844,590.762,1113.7279999999996,868.3919999999999
2014-04-19,205.47,4,19,5,16,1,1020.532,129.98,187.43200000000002,0.0,303.2685714285709,882.7176666666667
2014-04-20,1250.45,4,20,6,16,1,205.47,638.576,456.272,4109.816,314.0528571428566,889.5666666666667
2014-04-21,845.36,4,21,0,17,0,1250.45,0.0,247.40800000000002,464.09299999999996,401.4634285714281,794.2544666666668
2014-04-22,257.752,4,22,1,17,0,845.36,294.71999999999997,2743.154,945.0639999999999,522.2291428571424,806.9633666666667
2014-04-23,643.98,4,23,2,17,0,257.752,39.072,0.0,65.38,516.9479999999995,784.0529666666666
2014-04-24,0.0,4,24,3,17,0,643.98,0.0,728.7479999999999,459.146,603.363428571428,803.3396333333334
2014-04-25,2379.9939999999997,4,25,4,17,0,0.0,1020.532,6693.7480000000005,145.13,603.363428571428,788.0347666666668
2014-04-26,282.568,4,26,5,17,1,2379.9939999999997,205.47,129.98,0.0,797.5722857142852,862.5302333333333
2014-04-27,0.0,4,27,6,17,1,282.568,1250.45,638.576,1823.8039999999999,808.586285714285,871.9491666666667
2014-04-28,2578.476,4,28,0,18,0,0.0,845.36,0.0,890.841,629.9505714285708,811.1556999999999
2014-04-29,768.844,4,29,1,18,0,2578.476,257.752,294.71999999999997,1170.3220000000001,877.538571428571,867.4102
2014-04-30,1048.74,4,30,2,18,0,768.844,643.98,39.072,1959.552,950.551714285714,854.0276
2014-05-01,19.536,5,1,3,18,0,1048.74,0.0,0.0,288.06,1008.3745714285709,823.6672
2014-05-02,0.0,5,2,4,18,0,19.536,2379.9939999999997,1020.532,134.38400000000001,1011.1654285714282,814.7164
2014-05-03,705.562,5,3,5,18,1,0.0,282.568,205.47,370.452,671.1662857142853,810.2369333333334
2014-05-04,5295.098,5,4,6,18,1,705.562,0.0,1250.45,475.844,731.5939999999995,821.4072666666667
2014-05-05,260.977,5,5,0,19,0,5295.098,2578.476,845.36,187.43200000000002,1488.036571428571,982.0490666666667
2014-05-06,0.0,5,6,1,19,0,260.977,768.844,257.752,456.272,1156.9652857142853,984.5005666666667
2014-05-07,1444.104,5,7,2,19,0,0.0,1048.74,643.98,247.40800000000002,1047.1304285714282,969.2914999999999
2014-05-08,2408.7239999999997,5,8,3,19,0,1444.104,19.536,0.0,2743.154,1103.6109999999996,1009.1813666666666
2014-05-09,296.304,5,9,4,19,0,2408.7239999999997,0.0,2379.9939999999997,0.0,1444.923571428571,998.0337
2014-05-10,191.9,5,10,5,19,1,296.304,705.562,282.568,728.7479999999999,1487.2527142857139,1007.9105
2014-05-11,1694.564,5,11,6,19,1,191.9,5295.098,0.0,6693.7480000000005,1413.8724285714281,990.0155666666666
2014-05-12,2963.642,5,12,0,20,0,1694.564,260.977,2578.476,129.98,899.5104285714281,823.3761
2014-05-13,898.3820000000001,5,13,1,20,0,2963.642,0.0,768.844,638.576,1285.6054285714283,917.8315
2014-05-14,310.88,5,14,2,20,0,898.3820000000001,1444.104,1048.74,0.0,1413.9457142857138,926.4916999999999
2014-05-15,0.0,5,15,3,20,0,310.88,2408.7239999999997,19.536,294.71999999999997,1252.0565714285708,936.8543666666666
2014-05-16,289.28,5,16,4,20,0,0.0,296.304,0.0,39.072,907.9531428571426,927.0303666666666
2014-05-17,91.68,5,17,5,20,1,289.28,191.9,705.562,0.0,906.9497142857139,935.3706333333334
2014-05-18,948.948,5,18,6,20,1,91.68,1694.564,5295.098,1020.532,892.632571428571,938.4266333333333
2014-05-19,91.62,5,19,0,21,0,948.948,2963.642,260.977,205.47,786.1159999999998,936.0405
2014-05-20,320.104,5,20,1,21,0,91.62,898.3820000000001,0.0,1250.45,375.82714285714246,932.2455000000001
2014-05-21,4264.3279999999995,5,21,2,21,0,320.104,310.88,1444.104,845.36,293.2159999999996,901.2339666666667
2014-05-22,180.93,5,22,3,21,0,4264.3279999999995,0.0,2408.7239999999997,257.752,857.9942857142853,1015.1995666666666
2014-05-23,323.758,5,23,4,21,0,180.93,289.28,296.304,643.98,883.8414285714282,1012.6388333333332
2014-05-24,116.28,5,24,5,21,1,323.758,91.68,191.9,0.0,888.7668571428568,1001.9647666666666
2014-05-25,119.53999999999999,5,25,6,21,1,116.28,948.948,1694.564,2379.9939999999997,892.2811428571424,1005.8407666666666
2014-05-26,1325.7179999999998,5,26,0,22,0,119.53999999999999,91.62,2963.642,282.568,773.7942857142853,930.4923
2014-05-27,2157.394,5,27,1,22,0,1325.7179999999998,320.104,898.3820000000001,0.0,950.0939999999995,965.2639666666668
2014-05-28,221.96800000000002,5,28,2,22,0,2157.394,4264.3279999999995,310.88,2578.476,1212.5639999999996,1037.1771
2014-05-29,0.0,5,29,3,22,0,221.96800000000002,180.93,0.0,768.844,635.0839999999997,958.6268333333333
2014-05-30,1924.913,5,30,4,22,0,0.0,323.758,289.28,1048.74,609.2368571428568,932.9986999999999
2014-05-31,773.7,5,31,5,22,1,1924.913,116.28,91.68,19.536,837.9732857142855,962.2044666666666
2014-06-01,4407.1,6,1,6,22,1,773.7,119.53999999999999,948.948,0.0,931.8904285714283,987.3432666666666
2014-06-02,330.512,6,2,0,23,0,4407.1,1325.7179999999998,91.62,705.562,1544.3989999999997,1134.2466
2014-06-03,0.0,6,3,1,23,0,330.512,2157.394,320.104,5295.098,1402.226714285714,1121.7449333333332
2014-06-04,1650.69,6,4,2,23,0,0.0,221.96800000000002,4264.3279999999995,260.977,1094.0275714285713,945.2416666666667
2014-06-05,254.456,6,5,3,23,0,1650.69,0.0,180.93,0.0,1298.1307142857142,991.5654333333333
2014-06-06,1374.001,6,6,4,23,0,254.456,1924.913,323.758,1444.104,1334.4815714285712,1000.0473000000001
2014-06-07,1038.472,6,7,5,23,1,1374.001,773.7,116.28,2408.7239999999997,1255.779857142857,997.7105333333334
2014-06-08,262.89,6,8,6,23,1,1038.472,4407.1,119.53999999999999,296.304,1293.6044285714283,952.0354666666666
2014-06-09,100.36,6,9,0,24,0,262.89,330.512,1325.7179999999998,191.9,701.5744285714283,950.9216666666666
2014-06-10,494.71,6,10,1,24,0,100.36,0.0,2157.394,1694.564,668.6955714285712,947.8703333333334
2014-06-11,43.68,6,11,2,24,0,494.71,1650.69,221.96800000000002,2963.642,739.3684285714282,907.8752
2014-06-12,1970.9779999999998,6,12,3,24,0,43.68,254.456,0.0,898.3820000000001,509.7955714285711,810.5431333333332
2014-06-13,14.52,6,13,4,24,0,1970.9779999999998,1374.001,1924.913,310.88,755.0129999999997,846.2963333333332
2014-06-14,212.94,6,14,5,24,1,14.52,1038.472,773.7,0.0,560.8014285714282,836.4176666666666
2014-06-15,942.9739999999999,6,15,6,24,1,212.94,262.89,4407.1,289.28,442.8682857142854,843.5156666666667
2014-06-16,763.792,6,16,0,25,0,942.9739999999999,100.36,330.512,91.68,540.0231428571426,865.3054666666666
2014-06-17,3418.502,6,17,1,25,0,763.792,494.71,0.0,948.948,634.7991428571426,887.7092
2014-06-18,139.8,6,18,2,25,0,3418.502,43.68,1650.69,91.62,1052.4837142857139,970.0276666666667
2014-06-19,0.0,6,19,3,25,0,139.8,1970.9779999999998,254.456,320.104,1066.2151428571426,971.6336666666666
2014-06-20,1828.9496,6,20,4,25,0,0.0,14.52,1374.001,4264.3279999999995,784.6468571428569,960.9635333333333
2014-06-21,4107.443,6,21,5,25,1,1828.9496,212.94,1038.472,180.93,1043.8510857142853,879.7842533333334
2014-06-22,1975.498,6,22,6,25,1,4107.443,942.9739999999999,262.89,323.758,1600.208657142857,1010.66802
2014-06-23,109.49600000000001,6,23,0,26,0,1975.498,763.792,100.36,116.28,1747.7120857142854,1065.7260199999998
2014-06-24,4.272,6,24,1,26,0,109.49600000000001,3418.502,494.71,119.53999999999999,1654.2412285714286,1065.4998866666667
2014-06-25,792.76,6,25,2,26,0,4.272,139.8,43.68,1325.7179999999998,1166.4940857142853,1061.65762
2014-06-26,0.0,6,26,3,26,0,792.76,0.0,1970.9779999999998,2157.394,1259.7740857142855,1043.8923533333334
2014-06-27,616.14,6,27,4,26,0,0.0,1828.9496,14.52,221.96800000000002,1259.7740857142855,971.97922
2014-06-28,1645.791,6,28,5,26,1,616.14,4107.443,212.94,0.0,1086.5155714285713,985.1182866666667
2014-06-29,46.68,6,29,6,26,1,1645.791,1975.498,942.9739999999999,1924.913,734.8509999999998,1039.9779866666665
2014-06-30,739.624,6,30,0,27,0,46.68,109.49600000000001,763.792,773.7,459.3055714285711,977.37022
2014-07-01,87.15799999999999,7,1,1,27,0,739.624,4.272,3418.502,4407.1,549.3238571428568,976.2343533333333
2014-07-02,180.32,7,2,2,27,0,87.15799999999999,792.76,139.8,330.512,561.164714285714,832.2362866666666
2014-07-03,1561.062,7,3,3,27,0,180.32,0.0,0.0,0.0,473.6732857142855,827.2298866666666
2014-07-04,1021.1700000000001,7,4,4,27,0,1561.062,616.14,1828.9496,1650.69,696.6821428571426,879.2652866666666
2014-07-05,1091.35,7,5,5,27,1,1021.1700000000001,1645.791,4107.443,254.456,754.5435714285712,858.2812866666667
2014-07-06,281.397,7,6,6,27,1,1091.35,46.68,1975.498,1374.001,675.337714285714,886.1777533333333
2014-07-07,241.19400000000002,7,7,0,28,0,281.397,739.624,109.49600000000001,1038.472,708.868714285714,849.75762
2014-07-08,0.0,7,8,1,28,0,241.19400000000002,87.15799999999999,4.272,262.89,637.6644285714283,823.1816866666667
2014-07-09,3523.875,7,9,2,28,0,0.0,180.32,792.76,100.36,625.2132857142855,814.4186866666666
2014-07-10,237.35999999999999,7,10,3,28,0,3523.875,1561.062,0.0,494.71,1102.8639999999998,928.5358533333333
2014-07-11,1449.142,7,11,4,28,0,237.35999999999999,1021.1700000000001,616.14,43.68,913.763714285714,919.95752
2014-07-12,548.4,7,12,5,28,1,1449.142,1091.35,1645.791,1970.9779999999998,974.902571428571,966.8062533333334
2014-07-13,351.216,7,13,6,28,1,548.4,281.397,46.68,14.52,897.3382857142855,919.3869866666666
2014-07-14,292.594,7,14,0,29,0,351.216,241.19400000000002,739.624,212.94,907.3124285714283,930.6101866666667
2014-07-15,9.51,7,15,1,29,0,292.594,0.0,87.15799999999999,942.9739999999999,914.6552857142854,933.26532
2014-07-16,0.0,7,16,2,29,0,9.51,3523.875,180.32,763.792,916.0138571428569,902.1498533333332
2014-07-17,0.0,7,17,3,29,0,0.0,237.35999999999999,1561.062,3418.502,412.6031428571426,876.6901199999999
2014-07-18,273.04,7,18,4,29,0,0.0,1449.142,1021.1700000000001,139.8,378.6945714285711,762.7400533333332
2014-07-19,461.326,7,19,5,29,1,273.04,548.4,1091.35,0.0,210.67999999999975,767.1813866666666
2014-07-20,2285.786,7,20,6,29,1,461.326,351.216,281.397,1828.9496,198.2408571428569,782.55892
2014-07-21,1961.482,7,21,0,30,0,2285.786,292.594,241.19400000000002,4107.443,474.6079999999998,797.7868
2014-07-22,1348.344,7,22,1,30,0,1961.482,9.51,0.0,1975.498,713.0205714285712,726.2547666666667
2014-07-23,2613.184,7,23,2,30,0,1348.344,0.0,3523.875,109.49600000000001,904.2825714285711,705.3496333333334
2014-07-24,0.0,7,24,3,30,0,2613.184,0.0,237.35999999999999,4.272,1277.5945714285713,788.8059000000001
2014-07-25,8341.289999999999,7,25,4,30,0,0.0,273.04,1449.142,792.76,1277.5945714285713,788.6635
2014-07-26,5039.994,7,26,5,30,1,8341.289999999999,461.326,548.4,0.0,2430.201714285714,1040.2811666666666
2014-07-27,580.06,7,27,6,30,1,5039.994,2285.786,351.216,616.14,3084.2971428571427,1208.2809666666665
2014-07-28,193.15200000000002,7,28,0,31,0,580.06,1961.482,292.594,1645.791,2840.6219999999994,1207.0783
2014-07-29,0.0,7,29,1,31,0,193.15200000000002,1348.344,9.51,46.68,2588.0034285714282,1158.657
2014-07-30,1367.84,7,30,2,31,0,0.0,2613.184,0.0,739.624,2395.3828571428567,1157.1009999999999
2014-07-31,0.0,7,31,3,31,0,1367.84,0.0,0.0,87.15799999999999,2217.476571428571,1178.0415333333333
2014-08-01,0.0,8,1,4,31,0,0.0,8341.289999999999,273.04,180.32,2217.476571428571,1175.1362666666669
2014-08-02,14.56,8,2,5,31,1,0.0,5039.994,461.326,1561.062,1025.863714285714,1169.1256
2014-08-03,0.0,8,3,6,31,1,14.56,580.06,2285.786,1021.1700000000001,307.9445714285712,1117.5755333333332
2014-08-04,1958.75,8,4,0,32,0,0.0,193.15200000000002,1961.482,1091.35,225.07885714285686,1083.5365333333332
2014-08-05,1799.97,8,5,1,32,0,1958.75,0.0,1348.344,281.397,477.30714285714254,1112.4498666666666
2014-08-06,2501.264,8,6,2,32,0,1799.97,1367.84,2613.184,241.19400000000002,734.445714285714,1163.0689666666667
2014-08-07,763.074,8,7,3,32,0,2501.264,0.0,0.0,0.0,896.3634285714282,1238.404633333333
2014-08-08,3955.6290000000004,8,8,4,32,0,763.074,0.0,8341.289999999999,3523.875,1005.3739999999997,1263.8404333333333
2014-08-09,14228.428,8,9,5,32,1,3955.6290000000004,14.56,5039.994,237.35999999999999,1570.463857142857,1278.2322333333332
2014-08-10,147.392,8,10,6,32,1,14228.428,0.0,580.06,1449.142,3601.016428571428,1744.6011666666666
2014-08-11,333.576,8,11,0,33,0,147.392,1958.75,193.15200000000002,548.4,3622.0724285714286,1701.2095
2014-08-12,1095.12,8,12,1,33,0,333.576,1799.97,0.0,351.216,3389.904714285714,1694.0486999999998
2014-08-13,0.0,8,13,2,33,0,1095.12,2501.264,1367.84,292.594,3289.2118571428573,1718.8455
2014-08-14,0.0,8,14,3,33,0,0.0,763.074,0.0,9.51,2931.888428571429,1709.0923666666667
2014-08-15,842.7819999999999,8,15,4,33,0,0.0,3955.6290000000004,0.0,0.0,2822.877857142857,1708.7753666666665
2014-08-16,853.092,8,16,5,33,1,842.7819999999999,14228.428,14.56,0.0,2378.1854285714285,1736.8681
2014-08-17,500.342,8,17,6,33,1,853.092,147.392,0.0,273.04,467.4231428571426,1765.3044999999997
2014-08-18,0.0,8,18,0,34,0,500.342,333.576,1958.75,461.326,517.8445714285712,1772.8812333333333
2014-08-19,1439.1060000000002,8,19,1,34,0,0.0,1095.12,1799.97,2285.786,470.19085714285694,1757.5037000000002
2014-08-20,1838.7220000000002,8,20,2,34,0,1439.1060000000002,0.0,2501.264,1961.482,519.331714285714,1729.2810333333332
2014-08-21,0.0,8,21,3,34,0,1838.7220000000002,0.0,763.074,1348.344,782.0062857142856,1725.1890333333333
2014-08-22,23.104,8,22,4,34,0,0.0,842.7819999999999,3955.6290000000004,2613.184,782.0062857142856,1680.2442333333336
2014-08-23,565.2239999999999,8,23,5,34,1,23.104,853.092,14228.428,0.0,664.9094285714283,1593.9082333333333
2014-08-24,59.74,8,24,6,34,1,565.2239999999999,500.342,147.392,8341.289999999999,623.7854285714284,1612.7490333333333
2014-08-25,1451.65,8,25,0,35,0,59.74,0.0,333.576,5039.994,560.8422857142856,1336.6973666666668
2014-08-26,366.81,8,26,1,35,0,1451.65,1439.1060000000002,1095.12,580.06,768.220857142857,1217.0859000000003
2014-08-27,2070.13,8,27,2,35,0,366.81,1838.7220000000002,0.0,193.15200000000002,615.035714285714,1209.977566666667
2014-08-28,0.0,8,28,3,35,0,2070.13,0.0,0.0,0.0,648.0939999999998,1272.5435
2014-08-29,832.3225,8,29,4,35,0,0.0,23.104,842.7819999999999,1367.84,648.0939999999998,1272.5435
2014-08-30,121.24,8,30,5,35,1,832.3225,565.2239999999999,853.092,0.0,763.6966428571426,1254.6929166666666
2014-08-31,92.52,8,31,6,35,1,121.24,59.74,500.342,0.0,700.2703571428568,1258.73425
2014-09-01,40.544,9,1,0,36,0,92.52,1451.65,0.0,14.56,704.9532142857141,1261.81825
2014-09-02,0.0,9,2,1,36,0,40.544,366.81,1439.1060000000002,0.0,503.3666428571426,1262.6843833333332
2014-09-03,0.0,9,3,2,36,0,0.0,2070.13,1838.7220000000002,1958.75,450.965214285714,1262.6843833333332
2014-09-04,0.0,9,4,3,36,0,0.0,0.0,0.0,1799.97,155.2323571428569,1197.3927166666665
2014-09-05,394.48,9,5,4,36,0,0.0,832.3225,23.104,2501.264,155.2323571428569,1137.3937166666665
2014-09-06,5463.008,9,6,5,36,1,394.48,121.24,565.2239999999999,763.074,92.68342857142831,1067.1675833333334
2014-09-07,265.521,9,7,6,36,1,5463.008,92.52,59.74,3955.6290000000004,855.7931428571426,1223.83205
2014-09-08,3605.685,9,8,0,37,0,265.521,40.544,1451.65,14228.428,880.507571428571,1100.82845
2014-09-09,4043.5879999999997,9,9,1,37,0,3605.685,0.0,366.81,147.392,1389.8134285714282,746.7370166666666
2014-09-10,249.36,9,10,2,37,0,4043.5879999999997,0.0,2070.13,333.576,1967.4688571428567,876.6102166666666
2014-09-11,1574.094,9,11,3,37,0,249.36,0.0,0.0,1095.12,2003.091714285714,873.8030166666667
2014-09-12,1522.6520000000003,9,12,4,37,0,1574.094,394.48,832.3225,0.0,2227.9622857142854,889.7688166666667
2014-09-13,1275.408,9,13,5,37,1,1522.6520000000003,5463.008,121.24,0.0,2389.1297142857143,940.5238833333333
2014-09-14,5023.716,9,14,6,37,1,1275.408,265.521,92.52,842.7819999999999,1790.9011428571428,983.0374833333333
2014-09-15,133.436,9,15,0,38,0,5023.716,3605.685,40.544,853.092,2470.6432857142854,1122.40195
2014-09-16,33.552,9,16,1,38,0,133.436,4043.5879999999997,0.0,500.342,1974.607714285714,1098.4134166666668
2014-09-17,820.523,9,17,2,38,0,33.552,249.36,0.0,0.0,1401.7454285714284,1082.85375
2014-09-18,0.0,9,18,3,38,0,820.523,1574.094,0.0,1439.1060000000002,1483.3401428571426,1110.204516666667
2014-09-19,9338.637,9,19,4,38,0,0.0,1522.6520000000003,394.48,1838.7220000000002,1258.4695714285713,1062.2343166666667
2014-09-20,5335.968000000001,9,20,5,38,1,9338.637,1275.408,5463.008,0.0,2375.0388571428566,1312.2314833333332
2014-09-21,2679.652,9,21,6,38,1,5335.968000000001,5023.716,265.521,23.104,2955.1188571428575,1490.0970833333336
2014-09-22,1240.266,9,22,0,39,0,2679.652,133.436,3605.685,565.2239999999999,2620.2525714285716,1578.6486833333333
2014-09-23,10662.337000000001,9,23,1,39,0,1240.266,33.552,4043.5879999999997,59.74,2778.371142857143,1601.1500833333334
2014-09-24,211.96,9,24,2,39,0,10662.337000000001,820.523,249.36,1451.65,4296.769,1954.5699833333335
2014-09-25,354.8888,9,25,3,39,0,211.96,0.0,1574.094,366.81,4209.831428571429,1913.2469833333334
2014-09-26,1480.614,9,26,4,39,0,354.8888,9338.637,1522.6520000000003,2070.13,4260.529828571429,1912.8496100000002
2014-09-27,773.4399999999999,9,27,5,39,1,1480.614,5335.968000000001,1275.408,0.0,3137.955114285714,1893.1990766666668
